instant,date,season,year,month,hour,holiday,weekday,day_type,weather,temperature,warming_sensation,humidity,windspeed,casual,registered,count,last_modified
1,2011-01-01,spring,2011,Jan,0,0,Sat,Holyday,Clear,0.24,0.2879,0.81,0.0,3.0,13,16,2023-03-26 04:01:44.335810
2,2011-01-01,spring,2011,Jan,1,0,Sat,Holyday,Clear,0.22,0.2727,0.8,0.0,8.0,32,40,2023-03-26 04:01:44.335810
3,2011-01-01,spring,2011,Jan,2,0,Sat,Holyday,Clear,0.22,0.2727,0.8,0.0,5.0,27,32,2023-03-26 04:01:44.335810
4,2011-01-01,spring,2011,Jan,3,0,Sat,Holyday,Clear,0.24,0.2879,0.75,0.0,3.0,10,13,2023-03-26 04:01:44.335810
6,2011-01-01,spring,2011,Jan,5,0,Sat,Holyday,Mist,0.24,0.2576,0.75,0.0896,0.0,1,1,2023-03-26 04:01:44.335810
7,2011-01-01,spring,2011,Jan,6,0,Sat,Holyday,Clear,0.22,0.2727,0.8,0.0,2.0,0,2,2023-03-26 04:01:44.335810
8,2011-01-01,spring,2011,Jan,7,0,Sat,Holyday,Clear,0.2,0.2576,0.86,0.0,1.0,2,3,2023-03-26 04:01:44.335810
9,2011-01-01,spring,2011,Jan,8,0,Sat,Holyday,Clear,0.24,0.2879,0.75,0.0,1.0,7,8,2023-03-26 04:01:44.335810
10,2011-01-01,spring,2011,Jan,9,0,Sat,Holyday,Clear,0.32,0.3485,0.76,0.0,8.0,6,14,2023-03-26 04:01:44.335810
11,2011-01-01,spring,2011,Jan,10,0,Sat,Holyday,Clear,0.38,0.3939,0.76,0.2537,12.0,24,36,2023-03-26 04:01:44.335810
12,2011-01-01,spring,2011,Jan,11,0,Sat,Holyday,Clear,0.36,0.3333,0.81,0.2836,26.0,30,56,2023-03-26 04:01:44.335810
13,2011-01-01,spring,2011,Jan,12,0,Sat,Holyday,Clear,0.42,0.4242,0.77,0.2836,29.0,55,84,2023-03-26 04:01:44.335810
14,2011-01-01,spring,2011,Jan,13,0,Sat,Holyday,Mist,0.46,0.4545,0.72,0.2985,47.0,47,94,2023-03-26 04:01:44.335810
16,2011-01-01,spring,2011,Jan,15,0,Sat,Holyday,Mist,0.44,0.4394,0.77,0.2985,40.0,70,110,2023-03-26 04:01:44.335810
17,2011-01-01,spring,2011,Jan,16,0,Sat,Holyday,Mist,0.42,0.4242,0.82,0.2985,41.0,52,93,2023-03-26 04:01:44.335810
18,2011-01-01,spring,2011,Jan,17,0,Sat,Holyday,Mist,0.44,0.4394,0.82,0.2836,15.0,52,67,2023-03-26 04:01:44.335810
19,2011-01-01,spring,2011,Jan,18,0,Sat,Holyday,Light Snow,0.42,0.4242,0.88,0.2537,9.0,26,35,2023-03-26 04:01:44.335810
20,2011-01-01,spring,2011,Jan,19,0,Sat,Holyday,Light Snow,0.42,0.4242,0.88,0.2537,6.0,31,37,2023-03-26 04:01:44.335810
21,2011-01-01,spring,2011,Jan,20,0,Sat,Holyday,Mist,0.4,0.4091,0.87,0.2537,11.0,25,36,2023-03-26 04:01:44.335810
22,2011-01-01,spring,2011,Jan,21,0,Sat,Holyday,Mist,0.4,0.4091,0.87,0.194,3.0,31,34,2023-03-26 04:01:44.335810
23,2011-01-01,spring,2011,Jan,22,0,Sat,Holyday,Mist,0.4,0.4091,0.94,0.2239,11.0,17,28,2023-03-26 04:01:44.335810
24,2011-01-01,spring,2011,Jan,23,0,Sat,Holyday,Mist,0.46,0.4545,0.88,0.2985,15.0,24,39,2023-03-26 04:01:44.335810
25,2011-01-02,spring,2011,Jan,0,0,Sun,Holyday,Mist,0.46,0.4545,0.88,0.2985,4.0,13,17,2023-03-26 04:01:44.335810
26,2011-01-02,spring,2011,Jan,1,0,Sun,Holyday,Mist,0.44,0.4394,0.94,0.2537,1.0,16,17,2023-03-26 04:01:44.335810
28,2011-01-02,spring,2011,Jan,3,0,Sun,Holyday,Mist,0.46,0.4545,0.94,0.194,2.0,4,6,2023-03-26 04:01:44.335810
29,2011-01-02,spring,2011,Jan,4,0,Sun,Holyday,Mist,0.46,0.4545,0.94,0.194,2.0,1,3,2023-03-26 04:01:44.335810
30,2011-01-02,spring,2011,Jan,6,0,Sun,Holyday,Light Snow,0.42,0.4242,0.77,0.2985,0.0,2,2,2023-03-26 04:01:44.335810
31,2011-01-02,spring,2011,Jan,7,0,Sun,Holyday,Mist,0.4,0.4091,0.76,0.194,0.0,1,1,2023-03-26 04:01:44.335810
32,2011-01-02,spring,2011,Jan,8,0,Sun,Holyday,Light Snow,0.4,0.4091,0.71,0.2239,0.0,8,8,2023-03-26 04:01:44.335810
33,2011-01-02,spring,2011,Jan,9,0,Sun,Holyday,Mist,0.38,0.3939,0.76,0.2239,1.0,19,20,2023-03-26 04:01:44.335810
34,2011-01-02,spring,2011,Jan,10,0,Sun,Holyday,Mist,0.36,0.3485,0.81,0.2239,7.0,46,53,2023-03-26 04:01:44.335810
35,2011-01-02,spring,2011,Jan,11,0,Sun,Holyday,Mist,0.36,0.3333,0.71,0.2537,16.0,54,70,2023-03-26 04:01:44.335810
36,2011-01-02,spring,2011,Jan,12,0,Sun,Holyday,Mist,0.36,0.3333,0.66,0.2985,20.0,73,93,2023-03-26 04:01:44.335810
37,2011-01-02,spring,2011,Jan,13,0,Sun,Holyday,Mist,0.36,0.3485,0.66,0.1343,11.0,64,75,2023-03-26 04:01:44.335810
38,2011-01-02,spring,2011,Jan,14,0,Sun,Holyday,Light Snow,0.36,0.3485,0.76,0.194,4.0,55,59,2023-03-26 04:01:44.335810
39,2011-01-02,spring,2011,Jan,15,0,Sun,Holyday,Light Snow,0.34,0.3333,0.81,0.1642,19.0,55,74,2023-03-26 04:01:44.335810
40,2011-01-02,spring,2011,Jan,16,0,Sun,Holyday,Light Snow,0.34,0.3333,0.71,0.1642,9.0,67,76,2023-03-26 04:01:44.335810
41,2011-01-02,spring,2011,Jan,17,0,Sun,Holyday,Clear,0.34,0.3333,0.57,0.194,7.0,58,65,2023-03-26 04:01:44.335810
42,2011-01-02,spring,2011,Jan,18,0,Sun,Holyday,Mist,0.36,0.3333,0.46,0.3284,10.0,43,53,2023-03-26 04:01:44.335810
43,2011-01-02,spring,2011,Jan,19,0,Sun,Holyday,Clear,0.32,0.2879,0.42,0.4478,1.0,29,30,2023-03-26 04:01:44.335810
44,2011-01-02,spring,2011,Jan,20,0,Sun,Holyday,Clear,0.3,0.2727,0.39,0.3582,5.0,17,22,2023-03-26 04:01:44.335810
45,2011-01-02,spring,2011,Jan,21,0,Sun,Holyday,Clear,0.26,0.2273,0.44,0.3284,11.0,20,31,2023-03-26 04:01:44.335810
46,2011-01-02,spring,2011,Jan,22,0,Sun,Holyday,Clear,0.24,0.2121,0.44,0.2985,0.0,9,9,2023-03-26 04:01:44.335810
47,2011-01-02,spring,2011,Jan,23,0,Sun,Holyday,Clear,0.22,0.2273,0.47,0.1642,0.0,8,8,2023-03-26 04:01:44.335810
48,2011-01-03,spring,2011,Jan,0,0,Mon,Working_day,Clear,0.22,0.197,0.44,0.3582,0.0,5,5,2023-03-26 04:01:44.335810
49,2011-01-03,spring,2011,Jan,1,0,Mon,Working_day,Clear,0.2,0.1667,0.44,0.4179,0.0,2,2,2023-03-26 04:01:44.335810
50,2011-01-03,spring,2011,Jan,4,0,Mon,Working_day,Clear,0.16,0.1364,0.47,0.3881,0.0,1,1,2023-03-26 04:01:44.335810
51,2011-01-03,spring,2011,Jan,5,0,Mon,Working_day,Clear,0.16,0.1364,0.47,0.2836,0.0,3,3,2023-03-26 04:01:44.335810
52,2011-01-03,spring,2011,Jan,6,0,Mon,Working_day,Clear,0.14,0.1061,0.5,0.3881,0.0,30,30,2023-03-26 04:01:44.335810
53,2011-01-03,spring,2011,Jan,7,0,Mon,Working_day,Clear,0.14,0.1364,0.5,0.194,1.0,63,64,2023-03-26 04:01:44.335810
54,2011-01-03,spring,2011,Jan,8,0,Mon,Working_day,Clear,0.14,0.1212,0.5,0.2836,1.0,153,154,2023-03-26 04:01:44.335810
