instant,date,season,year,month,hour,holiday,weekday,day_type,weather,temperature,warming_sensation,humidity,windspeed,casual,registered,count,last_modified
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3.0,13,16,2023-03-22 23:15:29.759033
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8.0,32,40,2023-03-22 23:15:29.759033
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5.0,27,32,2023-03-22 23:15:29.759033
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3.0,10,13,2023-03-22 23:15:29.759033
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0.0,1,1,2023-03-22 23:15:29.759033
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2.0,0,2,2023-03-22 23:15:29.759033
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1.0,2,3,2023-03-22 23:15:29.759033
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1.0,7,8,2023-03-22 23:15:29.759033
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8.0,6,14,2023-03-22 23:15:29.759033
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12.0,24,36,2023-03-22 23:15:29.759033
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26.0,30,56,2023-03-22 23:15:29.759033
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29.0,55,84,2023-03-22 23:15:29.759033
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47.0,47,94,2023-03-22 23:15:29.759033
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40.0,70,110,2023-03-22 23:15:29.759033
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41.0,52,93,2023-03-22 23:15:29.759033
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15.0,52,67,2023-03-22 23:15:29.759033
