instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,last_modified
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3.0,13,16,2023-03-23 02:00:13.197726
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8.0,32,40,2023-03-23 02:00:13.197726
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5.0,27,32,2023-03-23 02:00:13.197726
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3.0,10,13,2023-03-23 02:00:13.197726
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,,1,1,2023-03-23 02:00:13.197726
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0.0,1,1,2023-03-23 02:00:13.197726
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2.0,0,2,2023-03-23 02:00:13.197726
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1.0,2,3,2023-03-23 02:00:13.197726
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1.0,7,8,2023-03-23 02:00:13.197726
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8.0,6,14,2023-03-23 02:00:13.197726
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12.0,24,36,2023-03-23 02:00:13.197726
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26.0,30,56,2023-03-23 02:00:13.197726
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29.0,55,84,2023-03-23 02:00:13.197726
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47.0,47,94,2023-03-23 02:00:13.197726
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,,0.72,0.2836,35.0,71,106,2023-03-23 02:00:13.197726
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40.0,70,110,2023-03-23 02:00:13.197726
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41.0,52,93,2023-03-23 02:00:13.197726
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15.0,52,67,2023-03-23 02:00:13.197726
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9.0,26,35,2023-03-23 02:00:13.197726
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6.0,31,37,2023-03-23 02:00:13.197726
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11.0,25,36,2023-03-23 02:00:13.197726
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3.0,31,34,2023-03-23 02:00:13.197726
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11.0,17,28,2023-03-23 02:00:13.197726
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15.0,24,39,2023-03-23 02:00:13.197726
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4.0,13,17,2023-03-23 02:00:13.197726
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1.0,16,17,2023-03-23 02:00:13.197726
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,,0.2836,1.0,8,9,2023-03-23 02:00:13.197726
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,4,6,2023-03-23 02:00:13.197726
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,1,3,2023-03-23 02:00:13.197726
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0.0,2,2,2023-03-23 02:00:13.197726
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0.0,1,1,2023-03-23 02:00:13.197726
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0.0,8,8,2023-03-23 02:00:13.197726
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1.0,19,20,2023-03-23 02:00:13.197726
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7.0,46,53,2023-03-23 02:00:13.197726
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16.0,54,70,2023-03-23 02:00:13.197726
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20.0,73,93,2023-03-23 02:00:13.197726
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11.0,64,75,2023-03-23 02:00:13.197726
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4.0,55,59,2023-03-23 02:00:13.197726
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19.0,55,74,2023-03-23 02:00:13.197726
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9.0,67,76,2023-03-23 02:00:13.197726
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7.0,58,65,2023-03-23 02:00:13.197726
